S/N,"Project Name",State,Status,Description,"Images Count","Created Date","Last Updated"
1,"Supply and Installation of 2 Nos. of 1.5 Tesla Helium-Free Magnetic Resonance Imaging (MRI) Systems and Training of Relevant Staff at Yobe State University Teaching Hospital,",Yobe,Ongoing,"Damaturu (1) and Federal Medical  Centre, Nguru (1), Yobe State for The NEDC Head Office Maiduguri, Borno State",0,"Jan 19, 2026","Jan 19, 2026"
2,"Construction of 300 Meter Long Atoki River Bridge Port Harcourt Rivers State",Rivers,Suspended,N/A,0,"Jan 19, 2026","Jan 19, 2026"
3,"Rehabilitation/Repair of Office Building, Federal School of Surveying, Oyo",Oyo,Completed,N/A,0,"Jan 19, 2026","Jan 19, 2026"
4,"Dualization of Ilorin Express Junction-Ikoyi-Takie-Palace-Ogbomoso Grammar School Road, Ogbomoso",Oyo,Completed,N/A,0,"Jan 19, 2026","Jan 19, 2026"
5,"Construction of Okeola-Akolu Road, Eruwa, Ibarapa East LGA, Oyo State",Oyo,Completed,N/A,0,"Jan 19, 2026","Jan 19, 2026"
6,"Dualization of Dugbe-Magazine-Eleyele Road with spurs to Alesinloye, Onireke/Agbarigo, Ibadan (7.4km)",Oyo,Completed,N/A,0,"Jan 19, 2026","Jan 19, 2026"
7,"Expansion/Rehabilitation/Reconstruction of Apata-Bembo-Olosun with Spur to Akala Way (5.40Km), Oyo State",Oyo,Completed,N/A,0,"Jan 19, 2026","Jan 19, 2026"
8,"Reconstruction of Ibadan (Eleyele Junction)-Akufo Junction Road 10Km Section 1, Limited Reconstruction of Akufo Junction-Eruwa Road 48Km Section2, Oyo State",Oyo,Completed,N/A,0,"Jan 19, 2026","Jan 19, 2026"
9,"Reconstruction of igbara oke, Ibuji road in Ifedore LGA, Ondo State",Ondo,Completed,N/A,0,"Jan 19, 2026","Jan 19, 2026"
10,"Provide Truck Leasing and Transportation Services to NRL",FCT,Operation,N/A,2,"Jan 19, 2026","Jan 19, 2026"
11,"Construction and Equipping of the Maternity and Neo-Natal Section of General Hospital, Minna, Niger State",Niger,Completed,N/A,0,"Jan 19, 2026","Jan 19, 2026"
12,"Donation of Reconstruction of Akilo Road, Ikeja, Lagos State",Lagos,Completed,N/A,0,"Jan 19, 2026","Jan 19, 2026"
13,"Construction of Lagos Giwa Bridge, Lagos State",Lagos,Completed,N/A,0,"Jan 19, 2026","Jan 19, 2026"
14,"Construction of Koto Irabo Road Off Akowonjo Road, Alimosho Federal Constituency, Lagos State",Lagos,Completed,N/A,0,"Jan 19, 2026","Jan 19, 2026"
15,"Design, Construction and Supply of Two (2Nos.) Pilot Cutters for Eastern Ports of Nigerian Ports Authority",Lagos,Completed,N/A,2,"Jan 19, 2026","Jan 19, 2026"
16,"Design and Construction of 2Nos. Marine Vessels Pilot Cutters for the Nigerian Ports Authority",Lagos,Completed,N/A,5,"Jan 19, 2026","Jan 19, 2026"
17,"Procurement of Utility Boat",Kogi,Completed,N/A,0,"Jan 19, 2026","Jan 19, 2026"
18,"Repairs of Flood Damaged Giro Bridge, Along Suru to Giro Road and 3 No’s Bridges Along Argungu to Natsini Road, Kebbi State",Kebbi,Completed,N/A,0,"Jan 19, 2026","Jan 19, 2026"
19,"Supply and Processing of Satellite Optical/Infrared/Synthetic Aperture Radar Image and Intelligence Analysis Report for North West Operations with Associated Works for the Defenc  Administration",Kebbi,Completed,N/A,0,"Jan 19, 2026","Jan 19, 2026"
20,"Construction, Equipping Airfield Facilities at Nigerian Air Force Base Daura",Katsina,Completed,N/A,0,"Jan 19, 2026","Jan 19, 2026"
21,"Completion of Zobe Phase 1B Project for Katsina State",Katsina,Ongoing,N/A,4,"Jan 19, 2026","Jan 19, 2026"
22,"Construction of Danja Earth Dam and Access Road",Katsina,Completed,N/A,3,"Jan 19, 2026","Jan 19, 2026"
23,"Construction of 112.24 Km Backlog Maintenance and Rehabilitation Roads in Katsina State NG-KATSINA RAAMP-462666-CW-RFB/Lot 1",Katsina,Ongoing,N/A,0,"Jan 19, 2026","Jan 19, 2026"
24,"Construction of Earth Dam of 13.2m Height with crest length of 820m, 2m Spillway Height and Active Storage Capacity of 2.6 Million Cubic Meter of Water, Bunkure LGA, Kano State",Kano,Completed,N/A,5,"Jan 19, 2026","Jan 19, 2026"
25,"Infrastructure Development of Power Generation and supply to Calabar Free Zone & Kano Free Zone",Kano,Ongoing,N/A,3,"Jan 19, 2026","Jan 19, 2026"
26,"Development of Solar Hybrid Power Systems for Nigeria Defence Academy Kaduna under the  Energizing Education Programme (EEP) – Phase II",Kaduna,Operation,N/A,4,"Jan 19, 2026","Jan 19, 2026"
